incident_id,source_system,operation,sequence,wave_number,announced_utc,probable_launch_time,incident_day,target_text,landing_countries,target_country_guess,weapon_payload,ballistic_flag,drone_flag,cruise_flag,cluster_flag,target_energy_flag,target_port_flag,target_industrial_flag,target_military_flag,target_lat,target_lon,source_urls,description
tp4_1,tp4_osint_repo,tp4,1,1,2026-02-28T18:30:00Z,2026-02-28T18:00:00Z,2026-02-28,"Nevatim airbase, Tel Aviv, US military facilities in Persian Gulf; USN Fifth Fleet HQ Bahrain; Port Jebel Ali UAE; Duqm port Oman (2 drones, 1 injured); Tankers off Oman coast",IL | IQ | BH | AE | QA | JO | OM,Bahrain | Israel | Oman | United Arab Emirates,"Emad and Ghadr ballistic missiles, Shahed-136 drones",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,31.07,34.79,IDF reports high interception rate in coordination with allies; minor damage to one base,First wave of Operation True Promise 4; large-scale coordinated attack with drones to saturate defenses followed by ballistic missiles. Launched hours after US-Israeli Operation Epic Fury/Roaring Lion strikes on Iran.
tp4_2,tp4_osint_repo,tp4,2,2,2026-02-28T21:00:00Z,2026-02-28T20:30:00Z,2026-02-28,"Tel Aviv, US bases in Iraq",IL | IQ,Iraq | Israel,"Ballistic missiles, Shahed-136 drones",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32.07,34.77,https://www.presstv.ir/Detail/2026/02/28/764843/irgc-launches-new-waves-true-promise-pummeling-occupied-territories,Second wave continuing initial retaliatory barrage on Feb 28; 2-4 missiles per salvo pattern observed.
tp4_3,tp4_osint_repo,tp4,3,3,2026-02-28T23:45:00Z,2026-02-28T23:30:00Z,2026-02-28,"Israeli naval base in Haifa, warship dock in Haifa, Ramat David Air Base, HaKirya (Ministry of War) Tel Aviv, Abdullah Al-Mubarak Air Base Kuwait, Harir base Iraq, Prince Sultan Air Base Saudi Arabia; Crowne Plaza Hotel Manama Bahrain; Etihad Towers Abu Dhabi (drone intercepted, debris damage); French base Camp de la Paix Abu Dhabi; Al-Salam Naval Base Abu Dhabi; Saudi oil refinery",IL | KW | IQ | SA | BH | AE | JO,Bahrain | Iraq | Israel | Kuwait | Saudi Arabia | United Arab Emirates,"Advanced ballistic missiles, drones, cruise missiles",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,32.58,35.09,,Third wave; IRGC announced using more advanced missiles than True Promise 3. Expanded targeting to Gulf logistics infrastructure.
tp4_4,tp4_osint_repo,tp4,4,4,2026-03-01T01:00:00Z,2026-03-01T00:45:00Z,2026-03-01,"Beit Shams military-industrial complex, Ishtod military-industrial complex, US bases in Kuwait and Iraq",IL | KW | IQ,Iraq | Kuwait,"Kheibar Shekan ballistic missiles, drones",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,31.66,34.78,https://en.irna.ir/news/86089924/Third-and-fourth-waves-of-True-Promise-4-underway-IRGC | https://www.bernama.com/en/world/news.php?id=2528973,Fourth wave; continued expansion of targeting to military-industrial sites in Israel and Gulf bases.
tp4_5,tp4_osint_repo,tp4,5,5,2026-03-01T04:00:00Z,2026-03-01T03:30:00Z,2026-03-01,"American vessels in Indian Ocean, Abdullah Mubarak naval base Kuwait; Two missiles fired towards British bases on Cyprus (denied by Cyprus MoD)",KW | IO | CY,Cyprus | Kuwait,"Ballistic missiles, drones, cruise missiles",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.24,47.97,,Fifth wave; shift to maritime and Gulf targets. IRGC Navy involvement. MSP and MST logistics vessels in Indian Ocean reportedly struck (unverified).
tp4_6,tp4_osint_repo,tp4,6,6,2026-03-01T08:00:00Z,2026-03-01T07:30:00Z,2026-03-01,"Tel Nof Air Base, HaKirya headquarters (Israeli Defense Ministry/military command) Tel Aviv, Israeli Navy base Haifa, Haifa military naval yard",IL,Israel,"Ballistic missiles, drones",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32.445,34.885,https://english.almayadeen.net/news/politics/irgc-launches-sixth-wave-of-true-promise-4--retaliation-cont,Sixth wave; escalation to targeting Israeli political-military command infrastructure in dense urban Tel Aviv. IRGC signaling ability to strike leadership centers.
tp4_7,tp4_osint_repo,tp4,7,7,2026-03-01T14:00:00Z,2026-03-01T13:30:00Z,2026-03-01,"US/British oil tankers in Persian Gulf/Strait of Hormuz, Ali Al-Salem naval base Kuwait, Mohammed Al-Ahmad Naval Base Kuwait, Mina Salman US naval base Bahrain, USS Abraham Lincoln; Prince Sultan Airbase and King Khalid International Airport Saudi Arabia (intercepted); AWS data center UAE",IL | KW | BH | IO | SA | AE,Bahrain | Kuwait | Saudi Arabia | United Arab Emirates,"Ballistic missiles, drones, cruise missiles",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,29.35,47.52,,Seventh wave; massive expansion to maritime targets. IRGC claims 4 ballistic missiles fired at USS Abraham Lincoln carrier. Three oil tankers struck. Major Gulf base attacks.
tp4_8,tp4_osint_repo,tp4,8,8,2026-03-01T18:00:00Z,2026-03-01T17:30:00Z,2026-03-01,"Continued strikes on American and Israeli targets, regional US bases",IL | KW | BH,Israel,"Ballistic missiles, drones",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Eighth wave; continuation of wave 7 operations. IRGC claims massive US casualties (560 killed/wounded - unverified). Large-scale drone deployments.
tp4_9,tp4_osint_repo,tp4,9,9,2026-03-01T22:00:00Z,2026-03-01T21:30:00Z,2026-03-01,"US naval assets, Israeli defense systems, drones across multiple regions; RAF Akrotiri Cyprus (1 drone hit airfield, 5 intercepted, minor damage); Beit Shemesh residential area (synagogue and bomb shelter destroyed)",IL | KW | BH | QA | CY,Cyprus | Israel,"Ballistic missiles, drones",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,32.07,34.77,https://english.almayadeen.net/news/politics/irgc-launches-ninth-wave-of-operation-true-promise-4 | https://news-pravda.com/usa/2026/03/01/2113467.html | https://www.timesofisrael.com/nine-people-killed-in-iranian-missile-strike-on-residential-area-in-beit-shemesh/ | https://www.aljazeera.com/news/2026/3/1/at-least-nine-killed-after-iranian-strike-on-israels-beit-shemesh | https://www.jpost.com/israel-news/article-888332,"Ninth wave; IRGC claims 700+ drones and hundreds of missiles launched since operation began. Cluster munition warhead used against Tel Aviv area (12 injuries). Deadliest strike of the war: Emad ballistic missile struck residential area in Beit Shemesh, destroying a synagogue and collapsing a public bomb shelter beneath it. Nine killed including three teenage siblings (Yaakov, 16; Avigail, 15; Sara Biton, 13), Ronit Elimelech and her mother Sara, mother and son Bruria and Yosef Cohen, Gavriel Baruch Ravach, and Oren Katz. 28 wounded including two in serious condition. Hospitals in Jerusalem treated 50 people from the Beit Shemesh impact."
tp4_10,tp4_osint_repo,tp4,10,10,2026-03-02T04:00:00Z,2026-03-02T03:30:00Z,2026-03-02,"Israeli government complex Tel Aviv, military/security centers Haifa, East Jerusalem; Netanyahu's office (Tel Aviv); Saudi Aramco facility",IL | SA,Israel | Saudi Arabia,Kheibar Shekan maneuvering ballistic missiles,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,32.09,34.78,IDF assessing damage from advanced missile strikes,"Tenth wave; featured advanced Kheibar Shekan maneuvering missiles (MaRV-equipped, Mach 8, 500-1500kg warhead). IRGC stated it 'opened the great gates of fire upon the occupied territories.'"
tp4_11,tp4_osint_repo,tp4,11,11,2026-03-02T10:00:00Z,2026-03-02T09:30:00Z,2026-03-02,"US intelligence centers and military support warehouses in Persian Gulf, Israeli army communications complex Beersheba, 20+ sites in Tel Aviv/West Jerusalem/Galilee; Paphos Airport Cyprus (evacuated); Akrotiri Cyprus (sirens); Aramco Ras Tanura Saudi Arabia (refinery fire); Qatar LNG facilities; Mina Salman port Bahrain; Duqm/Oman maritime targets; US-Jordanian embassy evacuated",IL | KW | BH | AE | CY | SA | QA | JO | OM,Bahrain | Cyprus | Israel | Jordan | Oman | Qatar | Saudi Arabia,"Missiles, drones",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,31.9875,35.07,,Eleventh wave; naval and aerospace IRGC units. Targeted communications and intelligence infrastructure. IRGC claims 500 sites targeted in preceding 48 hours.
tp4_12,tp4_osint_repo,tp4,12,12,2026-03-02T14:30:00Z,2026-03-02T14:00:00Z,2026-03-02,"US Arifjan base Kuwait, US Al Minhad command center UAE, US naval facilities Bahrain, fuel tanker Athens Nova in Strait of Hormuz; Port Fujairah UAE; Dubai UAE (ballistic missile); Sulaymaniyah Iraqi Kurdistan; Erbil Iraq",KW | AE | BH | IO | IQ,Bahrain | Iraq | Kuwait | United Arab Emirates,"26 attack drones, 5 ballistic missiles, Fattah-2 hypersonic missile",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,28.93,48.1,,Twelfth wave; IRGC Navy-led maritime campaign. 26 drones and 5 ballistic missiles targeting US assets in three Gulf countries plus Strait of Hormuz maritime target.
tp4_13,tp4_osint_repo,tp4,13,13,2026-03-02T19:00:00Z,2026-03-02T18:30:00Z,2026-03-02,"US Navy Marine base at Arifjan base Kuwait, Ali Al-Salim air base Kuwait",KW,Kuwait,UAVs/drones,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28.93,48.1,,Thirteenth wave; IRGC Navy drone unit targeting Kuwaiti-based US Marine installations. Marked first clear indication of different IRGC branches coordinating successive waves under unified command.
tp4_14,tp4_osint_repo,tp4,14,14,2026-03-03T02:00:00Z,2026-03-03T01:30:00Z,2026-03-03,"US air base Sheikh Isa area Bahrain; US embassy Riyadh Saudi Arabia (2 drones, fire); CIA headquarters Riyadh (drone hit); Saudi Arabia downed 9 drones",BH | SA,Bahrain | Saudi Arabia,"20 drones, 3 ballistic missiles",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25.92,50.59,,Fourteenth wave; IRGC Navy large-scale attack on US air base in Bahrain with drones and missiles.
tp4_15,tp4_osint_repo,tp4,15,15,2026-03-03T16:00:00Z,2026-03-03T15:30:00Z,2026-03-03,"Al-Udeid Air Base Qatar, Israeli positions; US Consulate Al Seef Dubai (drones, fire); Fujairah Oil Industry Zone UAE; Hamad International Airport Qatar (intercepted); AWS facilities UAE and Bahrain",IL | QA | AE | SA | BH,Bahrain | Israel | Qatar | United Arab Emirates,"Missiles, drones",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,32.07,34.77,,Fifteenth wave; continued geographic expansion. Also targeted 10 key points at Sheikh Isa Air Base Bahrain. Air raid sirens in central Israel. IRGC claims to have shot down 7 Israeli drones.
tp4_16,tp4_osint_repo,tp4,16,16,2026-03-04T06:00:00Z,2026-03-04T05:30:00Z,2026-03-04,"HaKirya (IDF general staff and Ministry of War) Tel Aviv, strategic infrastructure Bnei Brak, military targets Beit Hakfa; Kuwait, Iraq, Saudi Arabia, UAE (hundreds of drones); Greek F-16s intercept Shahed drones near Cyprus; Turkish air defences intercept missiles over Hatay",IL | KW | IQ | SA | AE | CY | TR,Cyprus | Iraq | Israel | Kuwait | Saudi Arabia | United Arab Emirates,"230 attack drones, missiles",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32.46,35.135,,Sixteenth wave; critical shift - IRGC Ground Forces entered the battlefield with three simultaneous operations and 230 attack drones. Multi-domain offensive. Aerospace Division also struck 'heart and northern parts of occupied territories.'
tp4_17,tp4_osint_repo,tp4,17,17,2026-03-04T09:00:00Z,2026-03-04T08:30:00Z,2026-03-04,American and Israeli targets; Israeli Ministry of Defense building (Tel Aviv); Ben Gurion Airport; 7+ advanced US radars destroyed,IL,Israel,40+ ballistic missiles,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32.07,34.77,,Seventeenth wave; codename 'Sacred: O Messenger of Allah.' 40+ ballistic missiles fired by IRGC Aerospace Force. Religious-nationalist messaging increasingly prominent.
tp4_18,tp4_osint_repo,tp4,18,18,2026-03-04T15:00:00Z,2026-03-04T14:00:00Z,2026-03-04,Israeli Ministry of Security building; Ben Gurion Airport; 7+ advanced radar systems destroyed; US FPS-132 strategic radar in Qatar,IL | QA,Israel | Qatar,Ghadr-class ballistic missiles,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32.01,34.87,https://x.com/MalikAliiRaza | https://x.com/iwasnevrhere_,Eighteenth wave; codename references Imam Hassan Mojtaba in celebration of his holy birthday. Ghadr-class ballistic missiles confirmed launched by IRGC.
tp4_19,tp4_osint_repo,tp4,19,19,2026-03-05T06:00:00Z,2026-03-05T05:30:00Z,2026-03-05,"Israeli Defense Ministry complex Tel Aviv, Ben Gurion Airport, Jerusalem; US military positions in Kuwait, Bahrain, Qatar; USS Abraham Lincoln (CVN-72); Amazon data center Bahrain",IL | KW | BH | QA,Bahrain | Israel | Kuwait | Qatar,"Khorramshahr-4 ballistic missiles (1-ton warheads), explosive drones",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31.925,34.995,https://www.tribuneindia.com/news/irgc/irgc-launches-19th-wave-of-operation-true-promise-4-says-operation-against-american-zionist-terrorists | https://www.timesofisrael.com/liveblog-march-05-2026/,Nineteenth wave; codename 'Ya Hassan ibn Ali.' Combined missile and drone operation using Khorramshahr-4 ballistic missiles with 1-ton warheads. IRGC claims bypassed THAAD and struck Israeli Defense Ministry and Ben Gurion Airport. Also targeted USS Abraham Lincoln and Amazon data center in Bahrain. IDF reports most missiles intercepted; no casualties.
tp4_20,tp4_osint_repo,tp4,20,20,2026-03-06T08:00:00Z,2026-03-06T07:00:00Z,2026-03-06,"Tel Aviv and surrounding area, central Israel. Sirens sounded across central Israel. Eighth Iranian attack since midnight.",IL,Iran | Israel,"Kheibar Shekan ballistic missiles with cluster munition warheads (~20 submunitions per warhead, ~2.5 kg explosive each, ~8 km dispersal radius), drones",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,32.0853,34.7818,IDF Home Front Command cleared civilians to leave shelters but advised remaining close. No immediate injuries reported by medics. | https://x.com/i_am_razazkhan | https://x.com/FirsttripR | https://www.timesofisrael.com/liveblog_entry/police-say-iran-shot-cluster-bomb-in-recent-impact-in-central-israel/ | https://www.timesofisrael.com/irans-cluster-missiles-scattering-bombs-and-destruction-across-israel/ | https://www.haaretz.com/israel-news/israel-security/2026-03-05/ty-article/.premium/iran-has-fired-at-least-six-cluster-missiles-at-israel-since-the-war-began/0000019c-b94e-db5a-a99f-b94ff6f20000 | https://x.com/Osint613,Twentieth wave of Operation True Promise 4. Small number of ballistic missiles with cluster munition warheads and drones launched at central Israel. Eighth Iranian attack since midnight. Sirens sounded in Tel Aviv and surrounding area. Police confirmed cluster bomb warhead; missile fragments and submunitions impacted several areas. One impact in a central town sparked a fire. No immediate injuries reported. IDF Home Front Command cleared shelters after attack. Iran has fired at least six cluster missiles at Israel since the war began per Haaretz reporting.
tp4_21,tp4_osint_repo,tp4,21,21,2026-03-06T04:00:00Z,2026-03-06T03:30:00Z,2026-03-06,Tel Aviv; combined drone swarms and Kheibar cluster missiles designed to saturate and overwhelm multi-layered air defences,IL,Israel,"Kheibar Shekan ballistic missiles with cluster munition warheads, suicide drone swarms",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,32.0853,34.7818,https://muslimmirror.com/irgc-unleashes-21st-wave-of-operation-true-promise-4-tel-aviv-rocked-by-advanced-khyber-missile-barrage/ | https://www.newsx.com/world/israel-iran-us-war-live-day-6-irgc-launches-21st-wave-of-operation-true-promise-counterstrikes-with-drone-missile-swarms-tehran-vows-more-intense-operations-khamenei-death-funeral-trump-war-178308/ | https://www.tribuneindia.com/news/counter-strikes/irans-irgc-launches-21st-wave-of-counter-strikes-vows-more-intense-operations | https://news.cgtn.com/news/2026-03-06/news-1LhO8FO6dC8/p.html,"Twenty-first wave of Operation True Promise 4. Codename 'Ya Mu'izz al-Mu'minin.' IRGC Aerospace Force launched combined suicide drone swarms and Kheibar Shekan ballistic missiles with cluster warheads at Tel Aviv early Friday morning on Day 7 of the conflict. IRGC stated the tactic was designed to overwhelm Israel's multi-layered air defences. Iran vowed 'more intense' operations in coming days. Cumulative munitions prior to this wave reportedly exceeded 2,000 drones and 600 missiles."
tp4_22,tp4_osint_repo,tp4,22,22,2026-03-06T12:00:00Z,2026-03-06T11:30:00Z,2026-03-06,"Tel Aviv, Ben Gurion Airport, Israeli Air Force military centers in Haifa, US and Israeli positions across the Persian Gulf including Al Udeid Air Base (Qatar) and Al Dhafra Air Base (UAE). Retaliation for Minab school strike.",IL | QA | AE,Israel | Qatar | United Arab Emirates,"Khorramshahr-4 ballistic missiles (~1,500 kg warhead, Mach 16 exo-atmospheric / Mach 8 atmospheric), Kheibar Shekan ballistic missiles, Fattah hypersonic missiles, drones",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32.445,34.885,https://x.com/IrnaEnglish/status/2029864376719581460 | https://www.presstv.ir/Detail/2026/03/06/765044/IRGC-launches-22nd-wave-of-Operation-True-Promise-4-in-response-to-US-Israeli-aggression | https://www.presstv.ir/Detail/2026/03/06/765034/New-generation-missiles-on-way-as-Iran-launches-22nd-barrage | https://www.palestinechronicle.com/iran-says-khorramshahr-4-missiles-targeted-ben-gurion-airport-in-new-attack-wave/ | https://www.islamicinvitationturkey.com/iran-unleashes-22nd-missile-wave-in-op-true-promise-4-with-advanced-weaponry/ | https://defencesecurityasia.com/en/iran-khorramshahr-4-ballistic-missile-strike-tel-aviv-israel-air-defence-operation-true-promise-4/,"Twenty-second wave of Operation True Promise 4. Codename 'Ya Hossein ibn Ali.' Significant escalation in weapon sophistication: first wave to combine Khorramshahr-4 (~1,500 kg warhead, Mach 16), Kheibar Shekan, and Fattah hypersonic missiles simultaneously. Targeted Tel Aviv, Ben Gurion Airport, Haifa military centers, plus Al Udeid and Al Dhafra air bases in the Gulf. IRGC framed as retaliation for Minab school strike. Iranian state media stated most missiles used in the war to date were from 2012-2014 production, and new generation weapons had only been deployed in rare cases until this wave."
tp4_23,tp4_osint_repo,tp4,23,23,2026-03-06T20:31:00Z,2026-03-06T20:00:00Z,2026-03-06,"US bases: Sheikh Isa (Bahrain), Juffair (Bahrain), Ali al-Salem (Kuwait), al-Azraq (Jordan). Israel: Be'er Sheva (advanced technology centers, cybersecurity facilities, military support centers).",IL | KW | QA | BH | SA | AE,Bahrain | Israel | Jordan | Kuwait,"New-generation solid- and liquid-fuel missiles (Khaibar-Shekan, Rezvan variants); drones",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31.25,34.79,https://www.aljazeera.com/news/2026/3/6/iran-war-what-is-happening-on-day-seven-of-us-israel-attacks | https://x.com/IranUpdates0 | https://x.com/IranToday_24,"Twenty-third wave of Operation True Promise 4. Announced late evening March 6 (Day 7). IRGC stated this phase would involve 'some of the world's most advanced missiles.' Targets reported across Israel and Gulf states including Kuwait, Qatar, Bahrain, Saudi Arabia, and UAE. Israeli military confirmed intercepting missiles. Details remain sparse as the wave was announced only hours ago; this is a preliminary entry pending further OSINT confirmation."
tp4_24,tp4_osint_repo,tp4,24,24,2026-03-07T01:30:00Z,2026-03-07T05:30:00Z,2026-03-07,"Tel Aviv (""heart of the occupied territories""). At least 3 missile impacts confirmed in Tel Aviv per Al Jazeera. IRGC claimed strikes on strategic facilities.",IL,Israel,"Kheibar Shekan, Emad, and Ghadr ballistic missiles",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,32.07,34.77,https://x.com/iranscreenshot,"Twenty-fourth wave of Operation True Promise 4. Day 8 (March 7), dawn. Codename 'Ya Mahdi'. Kheibar Shekan, Emad, Ghadr ballistic missiles with cluster warheads targeting Tel Aviv. At least 3 impacts confirmed. IRGC released launch footage."
tp4_25,tp4_osint_repo,tp4,25,25,2026-03-07T10:35:00Z,2026-03-07T12:30:00Z,2026-03-07,"Joint US-Israeli military centers and logistical support. Al-Dhafra Air Base (UAE), Al-Minhad Air Base (UAE). IRGC claimed precision strikes on radar and satellite comms centers.",IL | AE,Israel | United Arab Emirates,"Fateh, Imad (Emad), and strategic missiles; drones",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32.85,35.5,https://www.pingtvindia.com/irgc-launches-25th-wave-of-operation-true-promise-4-as-iran-israel-us-war-escalates/ | https://www.jordannews.jo/Section-20/Middle-East/IRGC-Announces-Start-of-25th-Wave-of-True-Promise-4-Operation-49468 | https://wanaen.com/25th-wave-of-operation-true-promise-4-launched-with-fattah-and-emad-missiles/,"Twenty-fifth wave of Operation True Promise 4. Day 8 (March 7). Codename 'Al-Muqaddis / Ali ibn Abi Talib'. Fattah hypersonic and Emad missiles with Shahed-238 suicide drone swarms. Targeted joint US-Israeli military centers, Al-Dhafra and Al-Minhad Air Bases (UAE)."
tp4_26,tp4_osint_repo,tp4,26,26,2026-03-07T15:15:00Z,2026-03-07T17:00:00Z,2026-03-07,"Targets from north to south of Israel hit with precision, including Jerusalem (cluster missile intercepted over city per Anadolu Agency/Israel National News). Sdot Micha strategic military facility (radar). Also Iran army drone strikes against US bases: Al-Minhad Air Base (UAE) and Camp Udairi (Kuwait).",IL | AE | KW,Iran | Israel | Kuwait | United Arab Emirates,"New-generation Emad, Ghadr, and multi-warhead Kheibar missiles; drones",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,32.85,35.5,https://wanaen.com/irgc-wave-26-of-operation-true-promise-4/ | https://shafaq.com/en/Middle-East/IRGC-hits-Israeli-targets-in-26th-wave-of-Operation-True-Promise-4 | https://www.aa.com.tr/en/middle-east/loud-explosions-heard-after-iranian-cluster-missile-seen-in-skies-over-jerusalem/3854447 | https://www.israelnationalnews.com/news/423520,"Twenty-sixth wave of Operation True Promise 4. Day 8 (March 7). Combined drone-missile operation under codename 'Ya Heydar Karrar'. New-generation Emad, Ghadr, and multi-warhead Kheibar missiles with cluster warheads struck targets across northern and southern Israel including Jerusalem (cluster missile intercepted over city per Anadolu Agency and Israel National News). Sdot Micha strategic military facility targeted. Concurrent Iran army drone strikes against US bases at Al-Minhad (UAE) and Camp Udairi (Kuwait). IRGC claimed destruction of enemy radar systems in previous waves made striking targets easier."
tp4_27,tp4_osint_repo,tp4,27,27,2026-03-07T19:45:00Z,2026-03-07T18:30:00Z,2026-03-07,Haifa oil refinery; US positions in Kuwait (Camp Udairi / Camp Buehring). Cluster warheads confirmed over Israel.,IL | KW,Israel | Kuwait,"Khorramshahr-4 heavy ballistic missiles, Fattah-2 hypersonic missiles, cluster warheads, suicide drones",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,32.82,35,https://x.com/ShortReportOnX | https://x.com/wolfbrief_ | https://x.com/IslanderWORLD,"Twenty-seventh wave of Operation True Promise 4. Day 8 (March 7), evening. Codename 'Ya Fatimah al-Zahra'. Khorramshahr-4 heavy ballistic and Fattah-2 hypersonic missiles with cluster warheads plus suicide drones. Targeted Haifa oil refinery and US positions at Camp Udairi/Buehring (Kuwait). Iranian media claimed fires at Haifa refinery."
tp4_28,tp4_osint_repo,tp4,28,28,2026-03-08T11:22:00Z,2026-03-08T10:30:00Z,2026-03-08,Tel Aviv; Be'er Sheva (Bir al-Sabe'); Al-Azraq Air Base (Jordan),IL | JO,Israel | Jordan,"Qadr, Emad (700kg-1 ton warheads), Kheibar Shekan ballistic missiles (1,450 km range, terminal maneuverability)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,31.66,34.78,https://x.com/MilitaryObs2222 | https://mehrnews.com | https://almayadeen.net,"Twenty-eighth wave of Operation True Promise 4. Day 9 (March 8). Featured Qadr, Emad (700kg-1 ton warheads), and Kheibar Shekan missiles (1,450 km range, terminal maneuverability, high strike accuracy). Targeted Tel Aviv, Be'er Sheva, and Al-Azraq Air Base (Jordan). Iranian media claimed THAAD radar systems destroyed in preceding 24h period."
