"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Italy","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Re-Export","252.195","1620","Weight in kilograms","1620"
"Italy","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","6557022192.906","8653078250.003","Weight in kilograms","8653078250.003"
"Italy","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","1203081549.83","1769069192","Weight in kilograms","1769069192"
"Japan","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","1904974586.815","2436570532","Weight in kilograms","2436570532"
"Japan","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","14173850420.518","19631944441.568","Weight in kilograms","19631944441.568"
"Kyrgyzstan","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","48327427","77587930","Weight in kilograms","77587930"
"Kyrgyzstan","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","322889916","529595570","Weight in kilograms","529595570"
"Latvia","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","284418958.933","","No Quantity",""
"Latvia","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","120221304.125","165408557.163","Weight in kilograms","165408557.163"
"Lithuania","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","2070533712","2676994556.55","Weight in kilograms","2676994556.55"
"Lithuania","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","60451121","80342584.631","Weight in kilograms","80342584.631"
"Luxembourg","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Re-Export","4291.649","","No Quantity",""
"Luxembourg","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","348381343.063","","No Quantity",""
"Luxembourg","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","236838.948","38631.05","Weight in kilograms","38631.05"
"Malaysia","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","13476841405.863","","No Quantity",""
"Malaysia","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","8912667299.449","11869853409.932","Weight in kilograms","11869853409.932"
"Maldives","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","23.535","1","Weight in kilograms","1"
"Malta","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","102326594.811","","No Quantity",""
"Malta","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","1473.12","305","Weight in kilograms","305"
"Mauritius","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Re-Export","238.486","3","Weight in kilograms","3"
"Mauritius","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","238.486","3","Weight in kilograms","3"
"Mauritius","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","655365.174","515915","Weight in kilograms","516306"
"Mexico","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","54094778","57932279.528","Weight in kilograms","57932279.528"
"Mexico","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","9964798002","10677776386.758","Weight in kilograms","10677776386.758"
"Montenegro","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","40156843.852","46626807.058","Weight in kilograms","46626807.058"
"Montenegro","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","6936.105","2487.8","Weight in kilograms","2487.8"
"Myanmar","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","1640714923.56","2578439775.356","Weight in kilograms","2578439775.356"
"Namibia","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","311370128.88","","Weight in kilograms","344556362.51"
"Namibia","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","1350590805.248","","Weight in kilograms","1479795983.942"
"Namibia","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Re-Export","273201814.845","303457224.47","Weight in kilograms","303457224.47"
"Netherlands","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","20317321378.01","26041899055.833","Weight in kilograms","26041899055.833"
"Netherlands","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","13607891600.459","18049661103","Weight in kilograms","18049661103"
"New Zealand","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Re-Export","139677.924","25642.724","Weight in kilograms","25642.724"
"New Zealand","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","7009056.733","6719759.724","Weight in kilograms","6719759.724"
"New Zealand","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","1989132659.915","2931658447","Weight in kilograms","2931658447"
"Nigeria","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","10467890982.656","","No Quantity",""
"Nigeria","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","42017863.924","","No Quantity",""
"Norway","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","3730182435.288","5096341968","Weight in kilograms","5096341968"
"Norway","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","608905571.86","630284448.912","Weight in kilograms","630284448.912"
"Pakistan","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","4378742376.113","7471303000","Weight in kilograms","7471303000"
"Panama","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","1501233633","1558384436","Weight in kilograms","1558384436"
"Paraguay","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","663425029.79","762482166.72","Weight in kilograms","762482166.72"
"Philippines","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","3410","840","Weight in kilograms","840"
"Philippines","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","3925936613","5021944716.48","Weight in kilograms","5021944716.48"
"Poland","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","708409828","900469765.351","Weight in kilograms","900469765.351"
"Poland","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","1437051787","1690058642.697","Weight in kilograms","1690058642.697"
"Portugal","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","321837861.063","420832159.485","Weight in kilograms","420832159.485"
"Portugal","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","1813177110.216","2515919711","Weight in kilograms","2515919711"
"Rep. of Korea","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","14772103471","19394217805.67","Weight in kilograms","19394217805.67"
"Rep. of Korea","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","19845501054","28513800779.899","Weight in kilograms","28513800779.899"
"Rep. of Moldova","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","281455342","","No Quantity",""
"Rep. of Moldova","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Re-Export","121640964","137124150","Weight in kilograms","137124150"
"Rep. of Moldova","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","121647349","137126476","Weight in kilograms","137126476"
"Romania","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","1717604111.49","","No Quantity",""
"Romania","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","130541083.5","","No Quantity",""
"Slovakia","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","257709905.169","","No Quantity",""
"Slovakia","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","606079916.174","804647541","Weight in kilograms","804647541"
"Slovenia","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","148747959.003","169764326.745","Weight in kilograms","169764326.745"
"Slovenia","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","476254319.33","577858312.289","Weight in kilograms","577858312.289"
"South Africa","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","2731103287.93","2924848662.757","Weight in kilograms","2924848662.757"
"South Africa","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","12060402813.847","","Weight in kilograms","12923321110.437"
"Spain","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","862860957.615","","No Quantity",""
"Spain","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","3026520429.135","4133307350.65","Weight in kilograms","4133307350.65"
"Sri Lanka","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","822875659.326","1209286810.969","Weight in kilograms","1209286810.969"
"Sri Lanka","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","180.817","11","Weight in kilograms","11"
"Sweden","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","3057850827.209","3723170524.475","Weight in kilograms","3723170524.475"
"Sweden","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","1128974950.761","1391378754.712","Weight in kilograms","1391378754.712"
"Switzerland","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","15173127.431","","No Quantity",""
"Switzerland","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","1276007118.293","1496921349.324","Weight in kilograms","1496921349.324"
"TFYR of Macedonia","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","99367991.8","","No Quantity",""
"TFYR of Macedonia","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","3613327.22","3969904","Weight in kilograms","3969904"
"Thailand","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","1785831597.85","","Weight in kilograms","2205805311.223"
"Thailand","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","2293873789.59","3036322069.491","Weight in kilograms","3036322069.491"
"Togo","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Re-Export","2277061.136","2799441","Weight in kilograms","2799441"
"Togo","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","60275167.315","72632962","Weight in kilograms","72632962"
"Togo","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","2300064.704","2834427","Weight in kilograms","2834427"
"Trinidad and Tobago","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","486194700.759","","No Quantity",""
"Trinidad and Tobago","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Re-Export","180651374.807","204985508","Weight in kilograms","204985508"
"Trinidad and Tobago","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","180698897.199","206276380","Weight in kilograms","206276380"
"Türkiye","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","1521821694","","No Quantity",""
"Türkiye","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","745290535","1246630314.139","Weight in kilograms","1246630314.139"
"Ukraine","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","1357905690.68","1515887462.504","Weight in kilograms","1515887462.504"
"Ukraine","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","6511.42","2206.3","Weight in kilograms","2206.3"
"United Kingdom","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","5357102093.497","","No Quantity",""
"United Kingdom","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","3923149316.35","4705233647.806","Weight in kilograms","4705233647.806"
"USA","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Re-Export","343600205","522911727","Weight in kilograms","522911727"
"USA","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","46906830994","81947189670","Weight in kilograms","81947189670"
"USA","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","26426301812","40467348303.876","Weight in kilograms","40467348303.876"
"Uzbekistan","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Re-Export","195467018.98","324387640","Weight in kilograms","324387640"
"Uzbekistan","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Export","292792848.95","549132870","Weight in kilograms","549132870"
"Uzbekistan","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","974145977.97","1985693998.315","Weight in kilograms","1985693998.315"
"Zimbabwe","2024","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","Import","482616870.504","463449772.05","Weight in kilograms","463449772.05"

